timestamp,Open,High,Low,Close,Volume
2026-04-19 08:00:00+00:00,2316.68,2331.85,2307.09,2330.3,4458.50691316
2026-04-19 12:00:00+00:00,2330.52,2350.5,2311.63,2330.58,6172.37618679
2026-04-19 16:00:00+00:00,2331.32,2332.36,2287.55,2301.0,3883.04285578
2026-04-19 20:00:00+00:00,2301.0,2301.0,2253.84,2263.67,3142.14235133
2026-04-20 00:00:00+00:00,2263.48,2294.63,2261.09,2287.08,1917.80605219
2026-04-20 04:00:00+00:00,2287.08,2332.61,2264.43,2298.8,2799.23503041
2026-04-20 08:00:00+00:00,2299.34,2320.19,2290.41,2309.65,1128.39653611
2026-04-20 12:00:00+00:00,2309.15,2326.82,2279.95,2314.49,3251.92185653
2026-04-20 16:00:00+00:00,2314.9,2344.99,2299.62,2333.1,3369.74753358
2026-04-20 20:00:00+00:00,2332.92,2347.25,2308.51,2315.0,3638.24515781
2026-04-21 00:00:00+00:00,2315.01,2327.08,2299.87,2312.45,1617.41463837
2026-04-21 04:00:00+00:00,2312.23,2327.47,2305.41,2319.38,1273.71599284
2026-04-21 08:00:00+00:00,2318.98,2339.44,2314.37,2322.0,2720.56712477
2026-04-21 12:00:00+00:00,2321.08,2328.27,2291.4,2310.85,3096.83911513
2026-04-21 16:00:00+00:00,2310.85,2331.29,2285.23,2298.75,9872.67166585
2026-04-21 20:00:00+00:00,2298.76,2330.0,2296.65,2328.11,3791.52762419
2026-04-22 00:00:00+00:00,2327.76,2379.62,2313.75,2364.36,4042.58880757
2026-04-22 04:00:00+00:00,2364.36,2414.99,2358.6,2390.01,5560.17248406
2026-04-22 08:00:00+00:00,2390.15,2401.14,2383.24,2399.88,1326.69159696
2026-04-22 12:00:00+00:00,2399.37,2424.05,2391.76,2404.55,6268.73329702
2026-04-22 16:00:00+00:00,2404.78,2414.0,2384.47,2398.33,8408.55992082
2026-04-22 20:00:00+00:00,2398.17,2407.15,2374.38,2374.95,3202.14661774
2026-04-23 00:00:00+00:00,2374.96,2382.24,2333.13,2342.61,3829.38506891
2026-04-23 04:00:00+00:00,2341.01,2359.0,2337.86,2344.88,1636.14470914
2026-04-23 08:00:00+00:00,2344.88,2345.1,2306.73,2330.22,3997.65963826
2026-04-23 12:00:00+00:00,2330.23,2343.81,2315.78,2334.06,2234.65397959
2026-04-23 16:00:00+00:00,2334.24,2335.88,2286.81,2313.63,6620.0476966
2026-04-23 20:00:00+00:00,2313.72,2339.04,2313.72,2330.81,2068.11020007
2026-04-24 00:00:00+00:00,2331.06,2337.88,2302.05,2308.94,2930.52828035
2026-04-24 04:00:00+00:00,2308.95,2317.18,2300.5,2310.12,1089.14174503
2026-04-24 08:00:00+00:00,2312.11,2332.93,2304.19,2328.74,1863.37543454
2026-04-24 12:00:00+00:00,2328.42,2332.0,2302.16,2324.66,2837.36697807
2026-04-24 16:00:00+00:00,2324.31,2325.4,2309.09,2322.12,2261.55863758
2026-04-24 20:00:00+00:00,2321.89,2328.96,2307.72,2315.72,1564.97072254
2026-04-25 00:00:00+00:00,2315.74,2321.77,2312.16,2318.77,403.1022814
2026-04-25 04:00:00+00:00,2318.9,2319.51,2313.86,2317.34,239.93607564
2026-04-25 08:00:00+00:00,2317.34,2323.41,2311.43,2314.28,885.45737374
2026-04-25 12:00:00+00:00,2314.36,2319.0,2298.25,2308.86,1806.94864036
2026-04-25 16:00:00+00:00,2308.87,2314.49,2301.51,2310.56,1926.92210096
2026-04-25 20:00:00+00:00,2310.52,2321.01,2309.29,2319.82,616.8519067
2026-04-26 00:00:00+00:00,2319.82,2319.99,2307.57,2310.22,515.18944153
2026-04-26 04:00:00+00:00,2310.23,2336.42,2309.54,2331.59,1488.02678011
2026-04-26 08:00:00+00:00,2331.73,2338.0,2330.25,2336.84,560.44531586
2026-04-26 12:00:00+00:00,2336.84,2352.32,2325.84,2349.51,2790.40836182
2026-04-26 16:00:00+00:00,2349.51,2376.85,2341.13,2368.23,4410.36890249
2026-04-26 20:00:00+00:00,2368.24,2380.0,2349.51,2369.5,3481.54965352
2026-04-27 00:00:00+00:00,2369.5,2404.07,2360.52,2395.05,3647.45757515
2026-04-27 04:00:00+00:00,2395.14,2396.46,2313.68,2316.79,5190.50819719
2026-04-27 08:00:00+00:00,2316.33,2325.48,2310.01,2320.32,1081.10848182
2026-04-27 12:00:00+00:00,2320.08,2329.43,2264.68,2274.15,8231.28238164
2026-04-27 16:00:00+00:00,2274.89,2292.81,2270.25,2288.24,3821.12896621
2026-04-27 20:00:00+00:00,2289.55,2308.13,2284.34,2303.44,14695.8029362
